,0,1,2,3,4
992986b9-2209-4bdb-9207-3ffdc60db2ed,AMERICAN CAPITOL GROUP,UNIVERSITY OF UTAH,,2012-07-12T17:15:55.413000-04:00,2012
428aacb1-d90c-4a99-8520-a518c0e214e1,"K&L GATES, LLP",ACCELERGY CORPORATION,,2012-07-17T13:07:48.663000-04:00,2012
b8e5d15b-2e1f-4e63-be27-56960a6c7604,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,TRANSPORTATION COMMUNICATIONS NATIONAL UNION/IAM (FKA TRANSPORTATION COMMUNICATI,259000.00,2012-07-17T14:33:35.933000-04:00,2012
47d65b8b-a3ac-4b41-ad70-bccd43bd2fb1,AMERICAN CAPITOL GROUP,COLORADO SCHOOL OF MINES FOUNDATION,,2012-07-17T15:11:31.630000-04:00,2012
05487a37-5222-4f05-bc5e-afd234cffa10,FIRSTENERGY CORP,FIRSTENERGY CORP,470000.00,2012-07-17T15:32:35.073000-04:00,2012
d791648a-9946-44a0-87e9-d355509f202b,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,592319.00,2012-07-18T15:57:38.973000-04:00,2012
17f205f5-2c12-4864-8f5f-dee472699e0c,CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,85000.00,2012-07-19T21:59:47.157000-04:00,2012
374f6076-d763-4646-b2ad-42c88e18eea9,THE PENNSYLVANIA STATE UNIVERSITY,PENNSYLVANIA STATE UNIVERSITY,100000.00,2012-07-20T11:28:07.253000-04:00,2012
b669f687-c406-4b50-b703-84e8642d41f5,"SIGNAL GROUP CONSULTING, LLC",EASTMAN CHEMICAL COMPANY,,2012-07-20T13:45:51.237000-04:00,2012
d231eeca-e1ee-4642-86e7-50b516490615,"SIGNAL GROUP CONSULTING, LLC",HONEYWELL INTERNATIONAL INC.,,2012-07-20T14:02:38.360000-04:00,2012
913bb371-18e9-4527-9f80-11d1f869ed28,LEAGUE OF CONSERVATION VOTERS,LEAGUE OF CONSERVATION VOTERS,40000.00,2012-07-20T14:59:56.250000-04:00,2012
6e77ee4c-9079-48c1-b5cf-cf5ee81cf096,"JBS COMMUNICATIONS, LLC",THE HIGH TECHNOLOGY FOUNDATION,,2012-07-20T15:05:54.987000-04:00,2012
23aa9973-e049-4b10-8fbd-448c7443a061,GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),4860000.00,2012-07-20T16:09:32.397000-04:00,2012
c85eae38-bb35-4c4e-b934-6747d43be64d,SIERRA CLUB,SIERRA CLUB,100000.00,2012-07-20T16:21:24.043000-04:00,2012
