,0,1,2,3
779f64d5-f4f7-49ec-86bb-1029048531c4,AMERICAN HORTICULTURE INDUSTRY ASSOCIATION,20000.00,2017-04-20T10:26:52.250000-04:00,2017
0c17324f-3868-407e-832d-c29b574750d5,SCHOLARS STRATEGY NETWORK,10000.00,2017-04-20T16:01:34.100000-04:00,2017
03e30733-d00c-4f1f-82c8-042c9a2c9fde,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2017-04-20T16:38:32.260000-04:00,2017
897f91cc-91be-4ac0-b319-81d167cac32c,"NVG, LLC",,2017-04-20T18:26:14.110000-04:00,2017
5f65d52b-2f89-4276-b267-13dfce36cb88,"NVG, LLC",,2017-04-20T18:30:52.287000-04:00,2017
d258baf6-6c62-4111-be9b-ef52a3141823,S-3 GROUP,,2017-04-21T11:44:38.317000-04:00,2017
cba89aa5-1ed4-45d9-8331-7c53b36f5b42,LEAGUE OF WOMEN VOTERS OF THE U.S.,27084.00,2017-04-26T19:41:45.807000-04:00,2017
8ce96405-97aa-49af-9dd0-b6fcdc24a533,ANTI-DEFAMATION LEAGUE,40000.00,2017-06-12T10:30:29.917000-04:00,2017
c8f4933b-f002-4f40-81d7-f0e0ba02b92c,"LIONEL ""LEO"" AGUIRRE",,2017-07-06T00:11:34.067000-04:00,2017
a92cea2a-21be-471c-bc80-72a8a9abd472,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,70000.00,2017-07-17T15:55:14.230000-04:00,2017
29f60307-e71b-4436-9b20-e30ebb947bf7,AMERICAN HORTICULTURE INDUSTRY ASSOCIATION,20000.00,2017-07-20T07:14:15.307000-04:00,2017
40604e7f-ae6d-44e0-8ffd-55a168c88187,UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA),95840.00,2017-07-20T14:48:46.237000-04:00,2017
a1005f38-a0ce-497e-9146-05b8e0697b63,"NVG, LLC",,2017-07-20T15:50:34.607000-04:00,2017
365a2788-11e1-4e8d-be1c-48e7549a2f56,AMERICAN CIVIL LIBERTIES UNION,343401.00,2017-07-20T16:52:53.410000-04:00,2017
0cc362d0-52d2-4105-963f-29d470d75ee3,"NVG, LLC",,2017-07-20T17:19:41.273000-04:00,2017
914b52fb-8a4e-423f-bca0-3ff77941c4e2,"THE MITCHELL FIRM, INC.",,2017-07-20T22:50:40.867000-04:00,2017
0073da1b-2c13-4d31-bece-c24ee74db3f1,LEAGUE OF WOMEN VOTERS OF THE U.S.,32538.00,2017-07-21T11:47:45.833000-04:00,2017
ae7ad937-7990-4a85-bd8e-ba6f8c2a610c,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2017-08-01T12:38:02.967000-04:00,2017
89e78c07-313f-49f5-8b0d-fc31416f7e5a,ANTI-DEFAMATION LEAGUE,40000.00,2017-09-05T15:19:08.083000-04:00,2017
03b28d40-66a4-4fa7-8593-1d8123d5ad6c,NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,,2017-09-28T18:29:01.650000-04:00,2017
4737da97-3b3c-4eb4-a625-f3eb7fd6e355,"LIONEL ""LEO"" AGUIRRE",,2017-10-10T21:34:37.960000-04:00,2017
e41dc2a5-1968-4f04-87c1-ad5fd22d89b0,UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA),70000.00,2017-10-17T14:31:33.887000-04:00,2017
b9fd877a-a1de-453e-a79e-109b978257ef,LEAGUE OF WOMEN VOTERS OF THE U.S.,26477.00,2017-10-20T11:09:23.150000-04:00,2017
c0a92e01-d968-4493-99b6-b3f020344d2a,AMERICAN HORTICULTURE INDUSTRY ASSOCIATION,25000.00,2017-10-20T14:42:14.207000-04:00,2017
8fdf3c71-04d8-45b7-b660-e9ef946aeb1c,PITTA BISHOP & DEL GIORNO LLC,,2017-10-20T15:48:53.527000-04:00,2017
4f8213a9-08a7-493f-8f08-6d352fd594b0,AMERICAN CIVIL LIBERTIES UNION,295627.00,2017-10-20T16:50:04.517000-04:00,2017
1c841b19-1b17-4701-9dfb-3268e3ad1f0c,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,70000.00,2017-10-20T18:15:28.387000-04:00,2017
3afbe6e9-86ea-4857-a5ef-339714704f18,"NVG, LLC",,2017-10-20T18:35:50.723000-04:00,2017
697d4c15-8e42-4059-b52f-e51aaf387bc8,"NVG, LLC",,2017-10-20T18:36:59.927000-04:00,2017
7de4df6a-cc73-4dd2-9dc6-9608f92d3340,"THE MITCHELL FIRM, INC.",,2017-10-20T23:07:04.097000-04:00,2017
c07522c6-377c-40f0-b986-1f6a3c7014f9,NETWORK LOBBY FOR CATHOLIC SOCIAL JUSTICE,,2017-10-22T11:21:31.907000-04:00,2017
d36be279-3774-4cfb-80ef-6f845b6866e2,ANTI-DEFAMATION LEAGUE,15000.00,2017-12-07T15:12:50.427000-05:00,2017
c1f21493-0f92-4b77-8c30-08e7e765d2ee,NATIONAL ADVOCACY CENTER OF THE SISTERS OF THE GOOD SHEPHERD,,2017-12-26T17:20:24.357000-05:00,2017
c44484e2-88f5-4007-b634-75110444128f,"MASON CONSULTING, LLC",,2018-01-19T15:56:11.907000-05:00,2017
e916a299-4d42-4771-9cd6-1a85dfc8d2f0,UNIDOSUS (FKA NATIONAL COUNCIL OF LA RAZA),115625.00,2018-01-19T16:01:38.433000-05:00,2017
